_id,COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
727,Lassen,2017–2018,Age groups,18–64 years,15.9,(3.9–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
728,Los Angeles,2017–2018,Age groups,18–64 years,7.9,(6.2–9.7),,
729,Madera,2017–2018,Age groups,18–64 years,13.5,(6.9–20.1),,
730,Marin,2017–2018,Age groups,18–64 years,7.7,(0.6–14.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
731,Mariposa,2017–2018,Age groups,18–64 years,19,(3.7–34.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
732,Mendocino,2017–2018,Age groups,18–64 years,,,,Prevalence not available due to unreliable estimate
733,Merced,2017–2018,Age groups,18–64 years,8.4,(3.2–13.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
734,Modoc,2017–2018,Age groups,18–64 years,15.9,(3.9–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
735,Mono,2017–2018,Age groups,18–64 years,19,(3.7–34.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
736,Monterey,2017–2018,Age groups,18–64 years,7.1,(2.6–11.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
737,Napa,2017–2018,Age groups,18–64 years,16.4,(2.9–30.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
738,Nevada,2017–2018,Age groups,18–64 years,14,(1.1–27.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
739,Orange,2017–2018,Age groups,18–64 years,5.8,(3.7–7.9),,
740,Placer,2017–2018,Age groups,18–64 years,6.8,(1.9–11.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
741,Plumas,2017–2018,Age groups,18–64 years,15.9,(3.9–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
742,Riverside,2017–2018,Age groups,18–64 years,8.3,(5.6–11.1),,
743,Sacramento,2017–2018,Age groups,18–64 years,13.1,(8.5–17.7),,
744,San Benito,2017–2018,Age groups,18–64 years,,,,Prevalence not available due to unreliable estimate
745,San Bernardino,2017–2018,Age groups,18–64 years,8.8,(5.9–11.7),,
746,San Diego,2017–2018,Age groups,18–64 years,9.6,(7.4–11.7),,
747,San Francisco,2017–2018,Age groups,18–64 years,7.3,(3.4–11.2),,
748,San Joaquin,2017–2018,Age groups,18–64 years,12.6,(5.1–20.2),,
749,San Luis Obispo,2017–2018,Age groups,18–64 years,5.5,(1.3–9.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
750,San Mateo,2017–2018,Age groups,18–64 years,7.5,(2.4–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
751,Santa Barbara,2017–2018,Age groups,18–64 years,,,,Prevalence not available due to unreliable estimate
752,Santa Clara,2017–2018,Age groups,18–64 years,8.6,(5.6–11.6),,
753,Santa Cruz,2017–2018,Age groups,18–64 years,11.1,(5.1–17.0),,
754,Shasta,2017–2018,Age groups,18–64 years,7.9,(2.7–13.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
755,Sierra,2017–2018,Age groups,18–64 years,15.9,(3.9–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
756,Siskiyou,2017–2018,Age groups,18–64 years,15.9,(3.9–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
757,Solano,2017–2018,Age groups,18–64 years,12.6,(5.4–19.7),,
758,Sonoma,2017–2018,Age groups,18–64 years,11.6,(2.2–21.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
759,Stanislaus,2017–2018,Age groups,18–64 years,11.3,(5.0–17.5),,
760,Sutter,2017–2018,Age groups,18–64 years,18.9,(9.5–28.3),,
761,Tehama,2017–2018,Age groups,18–64 years,15.8,(6.6–25.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",
762,Trinity,2017–2018,Age groups,18–64 years,15.9,(3.9–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
763,Tulare,2017–2018,Age groups,18–64 years,6.7,(2.6–10.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
764,Tuolumne,2017–2018,Age groups,18–64 years,19,(3.7–34.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
765,Ventura,2017–2018,Age groups,18–64 years,4.5,(2.3–6.7),,
766,Yolo,2017–2018,Age groups,18–64 years,13.9,(4.3–23.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
767,Yuba,2017–2018,Age groups,18–64 years,16.4,(6.9–25.8),,
768,California,2017–2018,Age groups,65+ years,9.4,(8.4–10.5),,
769,Alameda,2017–2018,Age groups,65+ years,10,(2.8–17.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
770,Alpine,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
771,Amador,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
772,Butte,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
773,Calaveras,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
774,Colusa,2017–2018,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
775,Contra Costa,2017–2018,Age groups,65+ years,10.5,(4.0–17.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
776,Del Norte,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
777,El Dorado,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
778,Fresno,2017–2018,Age groups,65+ years,12.7,(2.7–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
779,Glenn,2017–2018,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
780,Humboldt,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
781,Imperial,2017–2018,Age groups,65+ years,20.9,(1.9–39.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
782,Inyo,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
783,Kern,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
784,Kings,2017–2018,Age groups,65+ years,6.8,(0.9–12.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
785,Lake,2017–2018,Age groups,65+ years,14.6,(2.6–26.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
786,Lassen,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
787,Los Angeles,2017–2018,Age groups,65+ years,8.8,(6.1–11.5),,
788,Madera,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
789,Marin,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
790,Mariposa,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
791,Mendocino,2017–2018,Age groups,65+ years,8.7,(0.9–16.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
792,Merced,2017–2018,Age groups,65+ years,22.4,(1.1–43.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
793,Modoc,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
794,Mono,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
795,Monterey,2017–2018,Age groups,65+ years,6.7,(0.4–13.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
796,Napa,2017–2018,Age groups,65+ years,15,(3.0–27.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
797,Nevada,2017–2018,Age groups,65+ years,6.2,(0.0–12.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
798,Orange,2017–2018,Age groups,65+ years,6,(2.5–9.5),,
799,Placer,2017–2018,Age groups,65+ years,7.3,(0.9–13.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
800,Plumas,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
801,Riverside,2017–2018,Age groups,65+ years,9.3,(2.6–16.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
802,Sacramento,2017–2018,Age groups,65+ years,13.2,(5.3–21.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
803,San Benito,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
804,San Bernardino,2017–2018,Age groups,65+ years,10,(3.6–16.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
805,San Diego,2017–2018,Age groups,65+ years,7.1,(1.3–12.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
806,San Francisco,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
807,San Joaquin,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
808,San Luis Obispo,2017–2018,Age groups,65+ years,8.2,(1.1–15.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
809,San Mateo,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
810,Santa Barbara,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
811,Santa Clara,2017–2018,Age groups,65+ years,9,(3.3–14.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
812,Santa Cruz,2017–2018,Age groups,65+ years,10.9,(2.2–19.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
813,Shasta,2017–2018,Age groups,65+ years,6.3,(1.8–10.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
814,Sierra,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
815,Siskiyou,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
816,Solano,2017–2018,Age groups,65+ years,11.2,(1.9–20.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
817,Sonoma,2017–2018,Age groups,65+ years,14,(3.7–24.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
818,Stanislaus,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
819,Sutter,2017–2018,Age groups,65+ years,22.5,(7.8–37.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
820,Tehama,2017–2018,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
821,Trinity,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
822,Tulare,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
823,Tuolumne,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
824,Ventura,2017–2018,Age groups,65+ years,11.9,(3.3–20.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
825,Yolo,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
826,Yuba,2017–2018,Age groups,65+ years,14.3,(0.2–28.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
827,California,2019–2020,Total population,All ages,8.7,(8.3–9.1),,
828,Alameda,2019–2020,Total population,All ages,7.5,(5.7–9.3),,
829,Alpine,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
830,Amador,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
831,Butte,2019–2020,Total population,All ages,13.3,(9.1–17.6),,
832,Calaveras,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
833,Colusa,2019–2020,Total population,All ages,11.5,(7.8–15.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
834,Contra Costa,2019–2020,Total population,All ages,8.7,(5.9–11.5),,
835,Del Norte,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
836,El Dorado,2019–2020,Total population,All ages,8.8,(5.6–11.9),,
837,Fresno,2019–2020,Total population,All ages,12.8,(9.7–15.9),,
838,Glenn,2019–2020,Total population,All ages,11.5,(7.8–15.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
839,Humboldt,2019–2020,Total population,All ages,10.3,(7.3–13.3),,
840,Imperial,2019–2020,Total population,All ages,10.6,(7.3–14.0),,
841,Inyo,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
842,Kern,2019–2020,Total population,All ages,9,(6.9–11.1),,
843,Kings,2019–2020,Total population,All ages,12.8,(8.8–16.7),,
844,Lake,2019–2020,Total population,All ages,11.7,(7.4–16.0),,
845,Lassen,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
846,Los Angeles,2019–2020,Total population,All ages,8.7,(7.8–9.6),,
847,Madera,2019–2020,Total population,All ages,13.7,(8.6–18.8),,
848,Marin,2019–2020,Total population,All ages,10.7,(8.1–13.4),,
849,Mariposa,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
850,Mendocino,2019–2020,Total population,All ages,9.8,(5.6–14.1),,
851,Merced,2019–2020,Total population,All ages,14.7,(9.1–20.3),,
852,Modoc,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
853,Mono,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
854,Monterey,2019–2020,Total population,All ages,8.3,(5.4–11.2),,
855,Napa,2019–2020,Total population,All ages,14.1,(4.7–23.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
856,Nevada,2019–2020,Total population,All ages,6,(4.2–7.9),,
857,Orange,2019–2020,Total population,All ages,7.9,(6.6–9.2),,
858,Placer,2019–2020,Total population,All ages,10,(6.7–13.3),,
859,Plumas,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
860,Riverside,2019–2020,Total population,All ages,7.3,(6.0–8.7),,
861,Sacramento,2019–2020,Total population,All ages,9.9,(7.5–12.2),,
862,San Benito,2019–2020,Total population,All ages,10.9,(3.3–18.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
863,San Bernardino,2019–2020,Total population,All ages,6.7,(5.1–8.3),,
864,San Diego,2019–2020,Total population,All ages,7.2,(6.2–8.3),,
865,San Francisco,2019–2020,Total population,All ages,8.1,(5.6–10.6),,
866,San Joaquin,2019–2020,Total population,All ages,9.2,(6.3–12.2),,
867,San Luis Obispo,2019–2020,Total population,All ages,5.7,(3.3–8.0),,
868,San Mateo,2019–2020,Total population,All ages,11,(8.0–14.0),,
869,Santa Barbara,2019–2020,Total population,All ages,4.3,(2.1–6.5),,
870,Santa Clara,2019–2020,Total population,All ages,7.5,(6.0–9.1),,
871,Santa Cruz,2019–2020,Total population,All ages,7.4,(4.1–10.8),,
872,Shasta,2019–2020,Total population,All ages,14.4,(8.5–20.3),,
873,Sierra,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
874,Siskiyou,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
875,Solano,2019–2020,Total population,All ages,14.8,(9.2–20.4),,
876,Sonoma,2019–2020,Total population,All ages,11.9,(8.3–15.4),,
877,Stanislaus,2019–2020,Total population,All ages,10.9,(7.8–14.1),,
878,Sutter,2019–2020,Total population,All ages,9,(5.7–12.2),,
879,Tehama,2019–2020,Total population,All ages,11.5,(7.8–15.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
880,Trinity,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
881,Tulare,2019–2020,Total population,All ages,15.5,(12.3–18.6),,
882,Tuolumne,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
883,Ventura,2019–2020,Total population,All ages,7,(5.1–8.8),,
884,Yolo,2019–2020,Total population,All ages,15.5,(8.3–22.6),,
885,Yuba,2019–2020,Total population,All ages,11.4,(7.7–15.2),,
886,California,2019–2020,Child vs. adult,0–17 years,7.4,(6.6–8.2),,
887,Alameda,2019–2020,Child vs. adult,0–17 years,6,(2.3–9.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
888,Alpine,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
889,Amador,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
890,Butte,2019–2020,Child vs. adult,0–17 years,28.6,(13.1–44.0),,
891,Calaveras,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
892,Colusa,2019–2020,Child vs. adult,0–17 years,10.8,(2.2–19.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
893,Contra Costa,2019–2020,Child vs. adult,0–17 years,4.2,(0.2–8.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
894,Del Norte,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
895,El Dorado,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
896,Fresno,2019–2020,Child vs. adult,0–17 years,10.4,(4.5–16.4),,
897,Glenn,2019–2020,Child vs. adult,0–17 years,10.8,(2.2–19.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
898,Humboldt,2019–2020,Child vs. adult,0–17 years,10,(0.9–19.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
899,Imperial,2019–2020,Child vs. adult,0–17 years,7.5,(0.3–14.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
900,Inyo,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
901,Kern,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
902,Kings,2019–2020,Child vs. adult,0–17 years,14.7,(6.3–23.1),,
903,Lake,2019–2020,Child vs. adult,0–17 years,8.9,(1.6–16.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
904,Lassen,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
905,Los Angeles,2019–2020,Child vs. adult,0–17 years,8.3,(6.2–10.4),,
906,Madera,2019–2020,Child vs. adult,0–17 years,12.3,(0.3–24.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
907,Marin,2019–2020,Child vs. adult,0–17 years,11.4,(4.4–18.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
908,Mariposa,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
909,Mendocino,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
910,Merced,2019–2020,Child vs. adult,0–17 years,9.8,(0.2–19.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
911,Modoc,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
912,Mono,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
913,Monterey,2019–2020,Child vs. adult,0–17 years,6,(2.3–9.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
914,Napa,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
915,Nevada,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
916,Orange,2019–2020,Child vs. adult,0–17 years,8.4,(5.6–11.2),,
917,Placer,2019–2020,Child vs. adult,0–17 years,6.8,(0.3–13.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
918,Plumas,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
919,Riverside,2019–2020,Child vs. adult,0–17 years,7.1,(3.4–10.8),,
920,Sacramento,2019–2020,Child vs. adult,0–17 years,7.6,(3.3–11.9),,
921,San Benito,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
922,San Bernardino,2019–2020,Child vs. adult,0–17 years,5.5,(1.4–9.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
923,San Diego,2019–2020,Child vs. adult,0–17 years,5.9,(3.8–8.0),,
924,San Francisco,2019–2020,Child vs. adult,0–17 years,8.4,(4.6–12.2),,
925,San Joaquin,2019–2020,Child vs. adult,0–17 years,10.6,(3.4–17.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
926,San Luis Obispo,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
927,San Mateo,2019–2020,Child vs. adult,0–17 years,8.9,(2.1–15.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
928,Santa Barbara,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
929,Santa Clara,2019–2020,Child vs. adult,0–17 years,6.2,(1.9–10.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
930,Santa Cruz,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
931,Shasta,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
932,Sierra,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
933,Siskiyou,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
934,Solano,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
935,Sonoma,2019–2020,Child vs. adult,0–17 years,6,(0.2–11.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
936,Stanislaus,2019–2020,Child vs. adult,0–17 years,14.9,(6.7–23.0),,
937,Sutter,2019–2020,Child vs. adult,0–17 years,4,(0.7–7.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
938,Tehama,2019–2020,Child vs. adult,0–17 years,10.8,(2.2–19.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
939,Trinity,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
940,Tulare,2019–2020,Child vs. adult,0–17 years,9.1,(3.5–14.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
941,Tuolumne,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
942,Ventura,2019–2020,Child vs. adult,0–17 years,6.4,(2.8–10.1),,
943,Yolo,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
944,Yuba,2019–2020,Child vs. adult,0–17 years,8.7,(2.2–15.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
